Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
3/2/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,"I was trying to receive tax information to file our taxes. When I called Navient, they said I do n't have a loan with them and we 've been paying them for years. I 've been paying them since Navient took over the loans from XXXX. I asked the technician about where my payments had been going he could n't give me an answer and told me to call another number to find out where my private student loan was. The number belonged to XXXX. They pointed me to XXXX who handles federal loans and not private loans. They 're giving me the run around and I still do n't know who I 've been paying and where my loan is right now, as well as my tax information.",,"Navient Solutions, LLC.",MO,,Servicemember,Consent provided,Web,3/2/17,Closed with explanation,Yes,No,2369388
4/2/16,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,,Company believes the complaint is the result of a misunderstanding,Student Assist Plus LLC,,,Servicemember,N/A,Phone,5/12/16,Closed with explanation,Yes,No,1861393
8/9/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"I originally was assigned to XXXX XXXX as my federal student loans lender in XX/XX/XXXX. Once I started making payments to them I was very careful about ensuring that my payment type would qualify for PSLF. I called several times to ensure this before I started making payments and was reassured on more than one occasion that my payment plan would qualify. 
In XX/XX/XXXX I was transferred to XXXX due to doing my first PSLF certification forms. I was just notified today that the 38 payments made with XXXX would not qualify although XXXX reassured me that my plan would qualify. XXXX also advised that there was no need to certify my employment until I reached 120 payments as I am a XXXX XXXX, but I acted on information from my company and am glad I did. I would like to know if there is an appeals process since I was acing on the bad information provided and have invested thousands of dollars that don't qualify.",,AES/PHEAA,SC,,Servicemember,Consent provided,Web,8/9/18,Closed with explanation,Yes,N/A,2987399
10/16/12,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",AK,99705,Servicemember,N/A,Web,10/17/12,Closed with explanation,Yes,No,172154
9/24/18,Student loan,Federal student loan servicing,Incorrect information on your report,Account status incorrect,"I have several months that are not being reported to the credit bureaus that shows my account as current for all months. The missing months includes that following : XXXX XXXX, XXXX XXXX, XXXX and XX/XX/XXXX, and XXXX XXXX.",Company believes it acted appropriately as authorized by contract or law,GREAT LAKES,NC,274XX,Servicemember,Consent provided,Web,9/24/18,Closed with explanation,Yes,N/A,3027640
8/10/18,Student loan,Private student loan,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",VT,050XX,Servicemember,Consent not provided,Web,8/10/18,Closed with explanation,Yes,N/A,2987256
5/2/16,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,,,AES/PHEAA,GA,30518,Servicemember,Consent not provided,Web,5/2/16,Closed with non-monetary relief,Yes,No,1904547
8/20/18,Student loan,Private student loan,Struggling to repay your loan,Problem lowering your monthly payments,"I have made several attempts to speak with wells fargo on my student loans but they do nothing and refer me to other departments. They want to refinance all loans by reconsolidating but require 3 co-signers. I cant get a third cosigner. They will not work with me. They send you a resolution that is not achievable and you all accept it as good enough to close the complaint, yet nothing has changed and my variable interest rate loans continue to increase in payment size. I will not be able to pay the payments any longer because the payment amount just went up again.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,SC,296XX,Servicemember,Consent provided,Web,8/20/18,Closed with explanation,Yes,N/A,2996969
10/25/16,Student loan,Non-federal student loan,Dealing with my lender or servicer,Received bad information about my loan,"I have a small private student loan with American Education Services with XXXX. 
My loan is in good standing and I make regular payments well above the minimum and have an auto-debit feature for increased payments. 
On XXXX XXXX, 2016 I entered XXXX. 
On XXXX XXXX, 2016, AES processed an automatic enrollment in a deferment without my knowledge and against my best interest since I was at least a XXXX student. 
I immediately protested on the very next day and asked for the deferment to be removed since I intended to make payments regardless of my status as a student as is my right. 
An agent of AES contacted me via email and claimed that it was in my best interest to have the loan in deferment, since the loan was subsidized and I would not pay interest. 
I responded immediately via email that the loan was not subsidized and a deferment was not in my best interest because not only would the interest accrue but I would lose the rate reductions in place on my automatic payments and the loan interest rate itself would rise because they charged more during deferment periods than payment periods. 
The agent claimed that was not true but they could process a removal of the deferment. 
I responded via email to reverse the deferment, it was not in my best interest. 
Another agent responded via email that I was in fact right, and they could reverse the deferment and put my loan status and payments back as they were, but they would not accept any more email communication and they would not correct the loan status until I write them another communication via post. 
The loan is small, the rate is small, and the interest charged in violation is small, so It would not be in my best interest to escalate to the point of damages, but these agents have fiduciary responsibilities to service accounts in the person 's best interest and can not change the considerations to the agreement to best fit their bottom line especially when a violation like this is immediately caught, protested, and a request to return to a payment status is made.",,AES/PHEAA,CO,809XX,Servicemember,Consent provided,Web,10/25/16,Closed with explanation,Yes,No,2177089
3/29/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,"Navient Solutions, LLC.",TN,38125,Servicemember,Consent not provided,Web,3/29/17,Closed with explanation,Yes,No,2410575
2/14/15,Student loan,Non-federal student loan,Getting a loan,Qualify for a better loan than offered,,,JPMORGAN CHASE & CO.,HI,96819,Servicemember,N/A,Web,2/14/15,Closed with explanation,Yes,No,1240923
6/17/16,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,76179,Servicemember,N/A,Referral,6/21/16,Closed with explanation,Yes,Yes,1974328
7/11/18,Student loan,Federal student loan servicing,Struggling to repay your loan,Can't get other flexible options for repaying your loan,,,"Navient Solutions, LLC.",PA,165XX,Servicemember,Consent not provided,Web,7/11/18,Closed with explanation,Yes,N/A,2959618
7/8/16,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,,,"Navient Solutions, LLC.",LA,70131,Servicemember,N/A,Referral,7/11/16,Closed with explanation,Yes,No,2003468
7/9/18,Student loan,Federal student loan servicing,Struggling to repay your loan,Can't get other flexible options for repaying your loan,,,"Navient Solutions, LLC.",PA,186XX,Servicemember,Consent not provided,Web,7/11/18,Closed with explanation,Yes,N/A,2957685
7/17/18,Student loan,Private student loan,Getting a loan,Problem with the interest rate,"I borrowed {$20000.00} from sallie Mae and I have paid {$350.00} a month for over 10 years and I owe them over {$35000.00} more then I borrowed. Even though I have been paying them. Sallie Mae gave my account to Navient without my consent. I am a XXXX XXXX and I tried applying for a XXXX XXXX forgiveness loan with the Department of Education, but the Department of Education denied it because it is a private, which I never knew it was a private loan until I applied for the XXXX XXXX  forgiveness program. They were deceitful and never disclosed it to me.",,"Navient Solutions, LLC.",TX,,Servicemember,Consent provided,Web,7/17/18,Closed with explanation,Yes,N/A,2964810
7/17/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"I have struggled with determining how much I owe to AES. I have two loans : 1. XXXX XXXX ( {$77000.00} due ) 2. XXXX XXXX ( {$3000.00} due ) When I log on to the account, I can not determine which loan payments apply to which accounts. I can not view the details for both loans. When I called two months ( XX/XX/XXXX ) ago to alert them to the problem, they said they would fix it, apologized for the debt calls, and told me I was up to do date. Since that time, I have made 3 payments : XX/XX/XXXX - XXXX XX/XX/XXXX XXXX XX/XX/XXXX - XXXX The amounts vary from the monthly due amount because their online system always states that I owe a late fee. 

I received a debt collection call that I was XXXX past due. I knew this could not be true because I was told in XX/XX/XXXX that I was up to date. Since XX/XX/XXXX, I have made {$650.00} dollars in payments. I logged on to see how much I owed. It is unclear because the 2 loans are not reflected in the correct place. The AES customer service employee told me to "" disregard '' the summary at the top and just focus on the "" payment '' portion. I did. However, the payment history does not accurately show how much I have paid. For the XXXX XXXX account, it does not show a payment history at all. I scrolled to the bottom. I tried to pull up the paper/pdf bills. They both are labeled "" XXXX XXXX : and only one contains a pdf/ The only pdf is for the XXXX XXXX account. i am not able to view the XXXX XXXX bill at all. The customer service person hung up on me when I asked for more details. I called back, and I was disconnected. I am very frustrated. I am just trying to pay the bill, but I would like the account to accurately reflect the amounts paid and applied to the correct loans. I want to resolve this, but I can not do so if I have no way of determining the amount owed, past amounts paid, and what amounts were applied to which account. Please help me determine the following : - A full accounting of each loan for one year ( XXXX XXXX- XX/XX/XXXX ). 
- Corrected online information for accurate viewing, paying, and bill summary.",,AES/PHEAA,TN,370XX,Servicemember,Consent provided,Web,7/17/18,Closed with non-monetary relief,Yes,N/A,2965448
1/28/13,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",AE,9824,Servicemember,N/A,Web,1/29/13,Closed with explanation,Yes,No,265341
9/5/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,"I have XXXX XXXX loans through Wells Fargo, and have auto-pay. I've not had a late payment in 15 years of paying. I went into a local branch on XX/XX/2018, to make an additional principle payment ( wrote that I wanted it to go toward principle on a specific loan, and pointed it out repeatedly to the bank teller. ) I have two distinct loans ( XXXX ) and ( XXXX ). Each has a different interest rate. I requested my additional principle payment of {$500.00} that day go to the loan with the higher interest rate ( XXXX ). I was told the local branch could not do that, and the student loan department was closed, since it was Saturday. I spoke with a Personal Banker to explain the payment I wanted to make, and she indicated she would look into it and get back to me on Tuesday, XX/XX/2018. I have still not received a call back from the local Wells Fargo branch. 

On Wednesday, XX/XX/2018, I logged onto the Wells Fargo website and found that, not only did my extra {$500.00} payment split between the 2 loans, it did not all go toward the principle. I was charge {$24.00} in interest on loan XXXX, and {$24.00} in interest on loan XXXX. My normal auto-pay comes out on the XXXX of every month, just like clockwork for the last 15 years, and I make clear at the time of the extra payment that it was an "" extra payment for principle only. '' So, it appears Wells Fargo is blocking me from : 1 ) Making a principle payment 2 ) Paying off the highest interest rate loan first 3 ) By default, collecting all of the  possible interest they can on my loans, and trying to extend my payments as long as possible. 

I've tried many times over the years to make a principle payment, and have been met each time by Wells Fargo with the same attitude : "" There's no way to do that. '' Now that they have finally been reeled-in by the government for unfair business practices, I'd like to point out that they are unwilling and/or unable to process a principle payment on a specific loan, which I believe to be against the law.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CO,,Servicemember,Consent provided,Web,9/5/18,Closed with explanation,Yes,N/A,3010949
1/21/17,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,"I have been trying to request an income based repayment for my student loan. When I go to the studentloan.gov website to apply, it shows that I have student loans totaling {$82000.00} when it should be {$49000.00}. The additional loans were discharged XX/XX/2011 due to my being a XXXX veteran. These loans were reopened by Navient and I spent over 3 hours on the phone ( Wednesday XX/XX/XXXX ) going in circles with different agencies and they all sent me back to Navient. Prior to this and afterward I spoke with representatives at Navient and asked if they could defer my payments until the issue was resolved and I was told that because my payment was in the window of repayment I need to call back. I get the same response every time I call back. I can pay the first loan payment on XX/XX/XXXX of XXXX but I ca n't afford the payment amounts that are estimated to be over {$500.00} for the following months. In addition, I do n't want to request a reduced payment which includes payments that have already been discharged. The representatives that I spoke with at Navient agree that my student loan total is {$49000.00} but they ca n't tell me why the past discharged loans are showing up on the student loan website or how to remove them. No one seems to know how to remove them, although I have a letter saying they were discharged. Please help me resolve this matter.",,"Navient Solutions, LLC.",TX,774XX,Servicemember,Consent provided,Web,1/21/17,Closed with explanation,Yes,No,2302819
7/19/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Problem with customer service,"I have contacted Navient on many occasions to no help, I have requested a supervisor and have been denied, I have requested proof of my co-signature and still nothing. I have proven to them that their lack of due diligence in the loan origination has lead to years of credit damage and financial damages to me. Still I have nothing, the only request I had of them is to remove me from a loan that they do not have any proof of my signature since I was serving my country in XXXX when this loan was originated, still they refuse to even escalate this, costing me thousands of dollars in higher interest rates due to my lower credit. PLEASE HELP",,"Navient Solutions, LLC.",NJ,073XX,Servicemember,Consent provided,Web,7/19/18,Closed with explanation,Yes,N/A,2968012
2/13/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,,,"Navient Solutions, LLC.",IL,61032,Servicemember,Consent not provided,Web,2/15/17,Closed with explanation,Yes,No,2340592
3/1/17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Need information about my balance/terms,,,"Navient Solutions, LLC.",WA,98513,Servicemember,N/A,Referral,3/3/17,Closed with explanation,Yes,No,2365923
10/22/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,AES/PHEAA,NC,,Servicemember,,Web,10/22/18,Closed with explanation,Yes,N/A,3052584
6/11/12,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",VA,23701,Servicemember,N/A,Web,6/13/12,Closed with explanation,Yes,No,99325
8/30/18,Student loan,Federal student loan servicing,Struggling to repay your loan,Can't get other flexible options for repaying your loan,"I've tried to reduce my monthly payments based on my income. I have yet to get an answer and it has been over 30 days. I have submitted all the documents and applied for the reduction twice. However, every day I get at least two or three emails demanding that I make a payment.",,AES/PHEAA,AR,727XX,Servicemember,Consent provided,Web,8/30/18,Closed with non-monetary relief,Yes,N/A,3005965
8/29/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,,"Navient Solutions, LLC.",VA,22602,Servicemember,Consent not provided,Web,8/31/18,Closed with explanation,Yes,N/A,3004838
5/14/14,Student loan,Non-federal student loan,Can't repay my loan,Can't temporarily postpone payments,,,GREAT LAKES,CA,92026,Servicemember,N/A,Web,5/16/14,Closed with explanation,Yes,Yes,851221
2/16/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"My school loans were originally with XXXX XXXX in XX/XX/XXXX. In XX/XX/XXXX I  consolidated a few of my loans. In XX/XX/XXXX XXXX XXXX reported to the IRS that my loans had been Cancelled/Discharged and a balance of {$3000.00} was forgiven and counted as income. Being in the Military, I did not receive the notice of the loans being discharged. In XX/XX/XXXX I was notified of the Cancellation/Discharge of my school loans and told that I owed taxes on the {$3000.00}. I called the IRS, Called Navient ( because by XX/XX/XXXX they were saying that they took over my loans and that is who was emailing me about my loan payments. ) I handled everything with the IRS shortly after getting the notice and it was taken care of. When I contacted Navient about the loans being Discharged, I was given a print out from Navient stating my original loans dates, the statue of the loans, the amount of the loans, the outstanding balance on the loans and what type of loans they were. On this document that I received from Navient on XX/XX/XXXX, it clearly stated that the statue of all of my school loans were PAID IN FULL and the Outstanding Principal on each loan was {$0.00}. But yet Navient is still trying to tell me I have to pay on these loans that had already been PAID/Cancelled/Discharged, and are reporting on my credit as delinquent with an outrageous balance AND continuing to take money when I file my taxes and taking money out of my pay checks. I have been going back and forth with them for 4 years now about this issue and they are extremely rude and ugly on the phone, are of ZERO help, and just making the problem worse! I am currently working with an attorney to get this issue resolved.",,"Navient Solutions, LLC.",OH,430XX,Servicemember,Consent provided,Web,2/16/18,Closed with explanation,Yes,N/A,2816933
6/30/15,Student loan,Non-federal student loan,Dealing with my lender or servicer,Need information about my balance/terms,,,LOAN TO LEARN,IN,46236,Servicemember,Consent not provided,Web,6/30/15,Closed with explanation,Yes,No,1444323
6/26/16,Student loan,Non-federal student loan,Getting a loan,Can't qualify for a loan,"I have been receiving harassing, threatening and XXXX threats telephone calls from U S Bank representatives in regards to an account and debt of {$7300.00} I do not owe. The account or debt do not belong to me. I am a victim of identity theft.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,MN,554XX,Servicemember,Consent provided,Web,6/26/16,Closed with explanation,Yes,No,1985350
8/13/18,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Trouble with how payments are being handled,,,"Navient Solutions, LLC.",AL,,Servicemember,Other,Web,8/13/18,Closed with explanation,Yes,N/A,2989682
3/27/14,Student loan,Non-federal student loan,Can't repay my loan,Can't get flexible payment options,,,"EXPERT GLOBAL SOLUTIONS, INC.",TX,75640,Servicemember,N/A,Web,4/7/14,Closed with explanation,Yes,No,782220
2/28/17,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,,,AES/PHEAA,AE,9622,Servicemember,Consent not provided,Web,2/28/17,Closed with explanation,Yes,No,2365096
